start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
01TA,,THIRTY THIRTY  MATLOCK OFFICE CENTER,TX,32.69416666666667,-97.11583333333333,630.0
01TE,,SMITH FIELD,TX,32.737629166666665,-96.42804055555555,505.0
01TN,,COLONIAL AIR PARK,TN,34.99592611111111,-89.73064,370.0
01U,,DUCKWATER,NV,38.85325,-115.63466666666666,5133.0
01UT,,LA SAL JUNCTION,UT,38.30831944444445,-109.39650222222222,6000.0
01VA,,PICKLES,VA,39.125,-77.925,500.0
01WA,,WILLAPA HARBOR,WA,46.66315472222222,-123.8121061111111,154.0
01WI,,PREHN CRANBERRY COMPANY,WI,44.01,-90.38916666666667,930.0
01WN,,WHIDBEY GENERAL HOSPITAL,WA,48.21308888888889,-122.68528055555556,140.0
01WT,,ODYSSEY,WA,47.51817777777778,-122.21090833333334,20.0
01WY,,KEYHOLE,WY,44.34720472222222,-104.81080361111111,4250.0
01XA,,SETON MEDICAL CENTER HAYS,TX,30.00722222222222,-97.85333333333334,715.0
01XS,,MEADOWOOD RANCH,TX,32.02016027777778,-95.74551694444443,500.0
02A,,CHILTON COUNTY,AL,32.85047222222222,-86.61144444444444,584.5
02AA,,H & H FIELD,AK,61.50666666666667,-149.91194444444446,160.0
02AK,,RUSTIC WILDERNESS,AK,61.87691111111111,-150.0976388888889,190.0
02AL,,BASS FIELD,AL,30.37146388888889,-87.76444444444445,61.0
02AR,,MOUNT MORIAH FIELD,AR,34.11694444444444,-93.6965,400.0
02C,,CAPITOL,WI,43.09022225,-88.17816030555555,850.0
02CA,,BETA PLATFORM ELLEN,CA,33.582522222222224,-118.12895416666666,122.0
02CD,,SHANNON FIELD,MS,34.12960555555556,-90.524025,165.0
02CL,,CONOVER AIR LODGE,CA,34.761091944444445,-119.05899305555556,5160.0
02CO,,MC CULLOUGH,CO,37.64333472222222,-106.04697,7615.0
02CT,,STRANGERS POINT,CT,41.91963611111111,-72.44445555555556,540.0
02D,,WINONA LAKE,IN,41.223055555555554,-85.83055555555555,812.0
02FA,,OSBORN AIRFIELD,FL,28.526666388888888,-81.87480000000001,121.0
02FL,,CUCHENS,FL,30.642777777777777,-86.12388888888889,215.0
02G,,COLUMBIANA COUNTY,OH,40.67331277777778,-80.6414063888889,1160.0
02GA,,DOUG BOLTON FIELD,GA,34.20260805555555,-83.42904888888889,884.0
02GE,,ETOWAH FIELDS,GA,34.17527777777778,-84.92444444444445,710.0
02HI,,K3 HELIPAD,HI,21.36202777777778,-157.95072222222223,9.0
02IA,,BOONE COUNTY HOSPITAL,IA,42.05609166666667,-93.87800277777778,1160.0
02ID,,MORGAN RANCH,ID,44.555459444444445,-115.30510666666667,5634.0
02II,,KING,IN,40.06226,-86.2105475,925.0
02IN,,DIAMOND P. FIELD,IN,40.208888888888886,-85.54083333333334,904.0
02IS,,ADVOCATE CONDELL MEDICAL CENTER,IL,42.274638888888894,-87.95727777777778,762.0
02KS,,JMJ LANDING,KS,39.22221888888889,-96.05527055555555,1170.0
02KY,,BOONE NATIONAL GUARD,KY,38.19444444444444,-84.91111111111111,760.0
02LA,,LA STATE POLICE TROOP G,LA,32.531483333333334,-93.65991666666667,168.0
02LS,,WINDY HILL,LA,30.148333333333333,-91.91902777777777,25.0
02MA,,CUTTYHUNK,MA,41.41955194444444,-70.92697944444444,9.0
02MD,,GARNER FIELD,MD,38.67254444444445,-76.7097388888889,141.0
02ME,,OLD ACTON AIRFIELD,ME,43.5373,-70.92936666666667,700.0
02MI,,FAIRPLAINS AIRPARK,MI,43.157088888888886,-85.14851666666667,850.0
02MO,,TROY AIRPARK,MO,39.05004638888889,-91.03347472222222,650.0
