start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
68AK,,20,,,,20,,,
L95,03,1267,,,,75,,,
L95,21,1267,,,,75,,,
L95,05,1457,,,,75,,,
L95,23,1457,,,,75,,,
AA07,H1,50,,,,50,,,
AA07,,50,,,,50,,,
95AK,07,1100,,,,58,,,
95AK,25,1100,,,,58,,,
6A7,ALL,1200,,,,100,,,
6A7,WAY,1200,,,,100,,,
PABM,07,4200,,,,145,,,
PABM,25,4200,,,,145,,,
Z91,16,4000,66.27981927777778,-145.8155106111111,439.7,75,,,
Z91,34,4000,66.26910308333333,-145.82090197222223,439.5,75,,,
PABV,02L,4010,61.41175975,-149.51618761111112,82.5,100,,,
PABV,20R,4010,61.42023044444444,-149.50166127777777,68.4,100,,,
PABV,02R,2200,61.41356666666667,-149.51166388888888,78.3,50,,,
PABV,20L,2200,61.41824444444444,-149.50376111111112,72.7,50,,,
5BK,14,2250,,,,40,,,
5BK,32,2250,,,,40,,,
AK97,04,2612,,,,100,,,
AK97,22,2612,,,,100,,,
BYA,05,2325,,,,60,,,
BYA,23,2325,,,,60,,,
PFKT,04,2110,65.33032647222223,-166.47331402777777,34.0,75,,,
PFKT,22,2110,65.33366163888888,-166.46204919444446,38.1,75,,,
PFKT,12,2990,65.33345736111112,-166.47186391666668,36.5,100,,,
PFKT,30,2990,65.32823963888889,-166.45681097222223,34.8,100,,,
AK98,17,1220,,,,70,,,
AK98,35,1220,,,,70,,,
PABL,11,3200,65.98386691666667,-161.1582605,27.1,75,,,
PABL,29,3200,65.9792588888889,-161.14001333333331,28.7,75,,,
AK75,02,3880,,,,90,,,
AK75,20,3880,,,,90,,,
PATW,04,2080,,,,30,,,
PATW,22,2080,,,,30,,,
15AK,02,2095,,,,40,,,
15AK,20,2095,,,,40,,,
CDE,H1,70,,,34.0,70,,,
CDE,,70,,,,70,,,
PALU,08,4805,68.87634444444444,-166.12896666666668,15.0,135,,,
PALU,26,4805,68.87391111111111,-166.09319722222222,16.0,135,,,
PAEH,14,3950,,,230.0,120,,,
PAEH,32,3950,,,541.0,120,,,
Z71,NW,10000,,,0.0,500,,,
Z71,SE,10000,,,0.0,500,,,
PACZ,02,3925,61.777116666666664,-166.04247249999997,373.4,161,,,
